Forecast Horizon,Steps (15-min),Model,RMSE (kW),MAE (kW),MAPE (%)
1-Hour Ahead,4,XGBoost Ensemble,27.880503798272606,14.98559080468749,0.7581328440953674
1-Hour Ahead,4,Random Forest Regressor,0.013485073581369368,0.009309079999582082,0.0005051831707229257
6-Hour Ahead,24,XGBoost Ensemble,11.504464621275446,3.6109885719075265,0.20807229492721493
6-Hour Ahead,24,Random Forest Regressor,0.0063253383584713965,0.0035046243680767475,0.00021864757514307345
12-Hour Ahead,48,XGBoost Ensemble,8.519393846577035,2.564663565250638,0.1512609633411469
12-Hour Ahead,48,Random Forest Regressor,0.03873971740274582,0.008987373711856131,0.0005088172988119251
24-Hour Ahead,96,XGBoost Ensemble,6.237930970126973,1.9135307521891238,0.11692366633415535
24-Hour Ahead,96,Random Forest Regressor,0.028983848990712338,0.00753972153987803,0.0004394850200155817
